lat,lon,name,wmoid
19,78,Adilabad,43025
14,77,Pbo Ananntpur,43237
13,78,Arogyavaram,43271
14,78,Cuddapah,43241
16,82,Kakinada,43189
16,79,Rentachintala,43177
17,78,Begumpet,43128
18,79,Ramgundam,43086
17,80,Khammam,43137
16,80,Nandigama,43182
16,81,Machilipatnam,43185
16,80,Vijayawada/gannava,43181
15,78,Kurnool,43213
18,78,Medak,43083
17,79,Nalgonda,43133
14,79,Nellore,43245
18,78,Nizamabad,43081
18,84,Kalingapatam,43105
17,83,Vishakhapatnam,43149
18,79,Hanamkonda,43087
28,95,Pasighat,42220
24,92,Silchar,42619
24,92,Hailakundi,74924
24,92,Silchar/kumbhirgram,42620
26,92,Tezpur,42415
26,93,Gohpur,42419
26,91,Tangla,42409
26,89,Dhubri,42404
26,90,Goalpara,42407
26,89,Dhubri/rupsi,42406
26,91,Gauhati,42410
27,95,Dumdooma,74924
27,94,North Lakhimpur,42309
27,95,Dibrugarh/mohanbar,42314
27,95,Sadiya,74925
27,95,Digboi,42316
27,94,Moran,74925
25,93,Lumding,42523
26,92,Chaparmukh,42414
26,94,Pet Jorhat,42423
26,94,Sibsagar,42311
26,93,Golaghat,42420
25,86,Bhagalpur,42498
26,84,Motihari,42383
26,84,Raxaul,42382
26,85,Darbhanga,42391
24,84,Gaya,42591
23,85,Hazaribagh,42699
26,85,Muzaffarpur,42387
24,84,Daltonganj,42587
25,85,Patna,42492
26,87,Forbesganj,42395
25,87,Purnea,42500
23,85,Ranchi,42700
23,85,M.o. Ranchi,42701
24,84,Dehri,42588
24,87,Dumka,42599
22,85,Chaibasa,42795
22,86,Jamshedpur,42799
23,72,Ahmadabad,42647
21,71,Amreli,42834
24,72,Deesa,42539
22,73,Baroda,42747
21,72,Bhaunagar,42838
22,69,Dwarka,42731
22,70,Jamnagar,42734
20,70,Veraval,42909
21,69,Porbandar,42830
22,72,Vallabh,42744
23,68,Naliya,42631
23,69,Bhuj-rudramata,42634
22,74,Dohad,42751
22,70,Rajkot,42737
21,72,Surat,42840
22,71,Surendranagar,42740
30,76,Chandigarh(iafb),42105
30,76,Ambala,42103
29,75,Hissar,42131
29,77,Karnal,42137
31,76,Bilaspur,42080
32,76,Dharmsala,42062
32,77,Manali,42065
31,76,Mandi,42078
30,77,Dharmpur,42107
31,77,Shimla,42083
34,74,Srinagar,42027
34,75,Sonamarg,43541
32,74,Jammu,42055
32,74,Jammu,42056
34,75,Dras,43542
12,77,Bangalore,43295
12,77,Bangalore/hindustan,43296
15,74,Belgaum/sambra,43198
15,74,Belgaum,43197
15,76,Bellary,43205
17,77,Bidar,43125
16,75,Bijapur,43161
13,75,Balehonur,43259
14,76,Chitradurga,43233
15,75,Gadag,43201
17,76,Gulbarga,43121
14,74,Karwar,43225
14,74,Honavar,43226
14,74,Shirali,43229
12,74,Mangalore,43283
12,74,Mangalore/bajpe,43284
12,78,Kolar,43299
12,76,Mandya,43289
12,76,Mysore,43291
16,77,Raichur,43169
11,75,Cannur,43315
9,76,Fort Cochin,43351
11,75,Kozhikode,43314
11,76,Nilambur,43316
8,76,Thiruvananthapuram,43371
8,76,Thiruvananthapuram,43372
19,82,Jagdalpur,43041
20,81,Kanker,42953
21,77,Betul,42860
23,77,Vidisha,42669
22,81,Pendra,42779
22,82,Champa,42783
25,79,Nowgong,42467
22,75,Dhar,42752
24,77,Guna,42559
26,78,Gwalior,42361
22,78,Pachmarhi,42767
22,77,Hoshangabad,42763
22,75,Indore,42754
23,79,Jabalpur,42675
24,74,Nimach,42547
25,76,Sheopur,42456
21,76,Khandwa,42855
23,77,Raisen,42672
21,83,Raigarh,42884
21,81,Raipur,42875
23,75,Ratlam,42661
23,78,Sagar,42671
24,80,Satna,42571
23,77,Bhopal/bairagarh,42667
22,79,Seoni,42771
23,80,Umaria,42679
24,81,Sidhi,42577
23,83,Ambikapur,42693
19,74,Ahmadnagar,43009
20,77,Akola,42933
20,77,Akola,42934
20,77,Amraoti,42937
19,75,Jalna,43013
19,75,Aurangabad,43014
21,80,Gondia,42871
19,75,Bir,43011
19,72,Bombay/santacruz,43003
20,76,Buldana,42931
19,79,Chandrapur,43029
21,75,Jalgaon,42851
16,74,Kolhapur,43157
21,79,Nagpur,42866
21,79,Nagpur,42867
20,74,Malegaon,42925
20,73,Nasik,42920
19,76,Parbhani,43017
18,73,Poona,43063
18,74,Baramati,43069
18,73,Khandala,43061
15,73,Vengurla,43193
16,73,Ratnagiri,43110
16,73,Devgarh,43153
17,73,Harnai,43109
16,74,Sangli,43158
17,73,Mahabaleshwar,43111
17,75,Sholapur,43117
19,77,Pusad,43019
20,78,Yeotmal,42943
24,93,Imphal,42623
25,90,Tura,42511
25,91,Shillong,42516
25,91,Cherrapunji,42515
23,92,Aijal,42727
25,94,Kohima,42527
21,86,Balasore,42895
20,86,Chandbali,42973
20,83,Titlagarh,42961
20,85,Cuttack,42970
20,85,Angul,42969
19,84,Gopalpur,43049
19,83,Bhawanipatna,43042
18,82,Koraput,43097
19,85,Puri,43053
20,85,Bhubaneswar,42971
21,83,Sambalpur,42883
21,84,Jharsuguda,42886
30,74,Ferozepur,42096
30,75,Ludhiana,42099
30,76,Patiala,42101
26,74,Ajmer,42343
27,76,Alwar,42255
25,71,Barmer,42435
26,77,Dholpur,42354
28,73,Bikaner,42165
28,74,Churu,42170
29,73,Anupgarh,42122
29,73,Ganganagar,42123
26,75,Jaipur/sanganer,42348
26,70,Jaisalmer,42328
24,76,Jhalawar,42555
27,72,Phalodi,42237
26,73,Jodhpur,42339
25,75,Kota-in-rajasthan,42451
25,75,Kota,42452
27,75,Sikar,42249
24,72,Mount Abu,42540
25,73,Erinpura/jawai,42441
26,75,Tonk,42349
24,73,Udaipur,42543
24,73,Udaipur,42542
12,79,Vellore,43303
11,79,Cuddalore,43329
11,78,Kallakkurichchi,43326
11,77,Coimbatore/peelamed,43321
11,76,Coimbatore,43319
12,80,Mahabalipuram,43308
13,79,Tiruttani,43277
13,80,Madras/minambakkam,43279
12,78,Dharmapuri,43301
8,77,Kanniyakumari,43377
9,78,Madurai,43359
10,77,Kodaikanal,43339
9,78,Madurai,43360
11,76,Coonoor,43318
9,79,Pamban,43363
9,79,Tondi,43361
10,78,Karaikudi,43327
11,78,Salem,43325
10,79,Nagappattinam,43347
10,79,Thanjavur,43330
10,79,Vedaranniyam,43349
10,78,Tiruchchirapalli,43344
10,78,K.Paramathy,43342
11,79,Ariyalur,43324
8,77,Palayankottai,43376
23,91,Agartala,42724
24,92,Kailashahar,42618
28,77,New Delhi,42182
28,77,New Delhi,42181
15,73,Mormugao,43196
15,73,Goa/panjim,43192
20,72,Daman,42916
10,79,Karaikal,43346
27,78,Agra,42261
27,78,Aligarh,42262
27,81,Bahraich,42273
28,79,Bareilly,42189
29,78,Najibabad,42143
30,79,Joshimath,42116
30,78,Dehradun,42111
30,78,Mussoorie,42112
25,80,Fatehpur,42471
27,81,Gonda,42274
27,83,Nautanwa,42282
26,83,Gorakhpur,42379
27,80,Hardoi,42271
25,78,Jhansi,42463
26,80,Kanpur,42366
27,80,Kheri,42270
26,80,Lucknow,42368
26,80,Lucknow/amausi,42369
27,79,Mainpuri,42265
28,78,Moradabad,42187
29,79,Nainital,42146
29,79,Mukteshwar,42147
29,80,Dharchula,42151
28,79,Rampur,42188
29,77,Roorkee,42140
26,82,Sultanpur,42375
30,78,Tehri,42114
30,78,Uttarkashi,42108
25,82,Varanasi/babatpur,42479
25,83,Varanasi,42483
23,87,Burdwan,42709
23,87,Panagarh,42704
26,89,Cooch,42403
27,88,Darjeeling,42295
26,88,Siliguri,42398
22,88,Bagati,42714
22,87,Uluberia,42805
26,88,Jalpaiguri,42399
25,88,Malda,42503
22,87,Kharagpur,74924
22,87,Midnapore,42803
24,88,Berhampore,42603
23,88,Krishnanagar,42711
20,88,Sandheads,42977
22,88,Calcutta/alipore,42807
22,88,Calcutta/barracks,42808
22,88,Calcutta/dumdum,42809
8,73,Minicoy,43369
7,93,Kondul,43385
12,92,Maya,43309
11,72,M.o.Amini,43311
11,92,Port Blair,43333
31,74,Amritsar,42071
25,81,Allahabad,42475
